Answer,Score,First Guess,Second Guess,Third Guess,Fourth Guess,Fifth Guess,Sixth Guess
hunky,False,salet,vying,quick,quick,fjord,fjord
vouch,False,salet,fjord,fjord,fjord,winch,winch
dozen,False,salet,vying,wimpy,wimpy,wimpy,wimpy
berth,False,salet,wimpy,wimpy,wimpy,wimpy,wimpy
fairy,False,salet,wimpy,wimpy,fjord,fjord,fjord
salty,False,salet,buxom,buxom,buxom,buxom,buxom
mirth,False,salet,buxom,buxom,buxom,quick,fjord
wordy,False,salet,fjord,quick,quick,quick,quick
marsh,False,salet,quick,quick,quick,quick,quick
crust,False,salet,quick,winch,winch,vying,vying
gland,False,salet,vying,vying,vying,wimpy,wimpy
river,False,salet,wimpy,fjord,buxom,buxom,buxom
chaos,False,salet,buxom,buxom,buxom,wimpy,wimpy
topaz,False,salet,wimpy,wimpy,wimpy,quick,quick
rivet,False,salet,quick,quick,quick,buxom,buxom
reach,False,salet,buxom,buxom,buxom,buxom,buxom
white,False,salet,buxom,buxom,buxom,buxom,buxom
flume,False,salet,buxom,buxom,fjord,fjord,fjord
shack,False,salet,fjord,fjord,fjord,fjord,fjord
chase,False,salet,fjord,fjord,fjord,fjord,fjord
range,False,salet,fjord,fjord,fjord,winch,winch
guide,False,salet,quick,quick,winch,fjord,fjord
willy,False,salet,nymph,nymph,fjord,fjord,fjord
bench,False,salet,fjord,fjord,fjord,fjord,fjord
flask,False,salet,fjord,fjord,buxom,buxom,buxom
craze,False,salet,buxom,buxom,buxom,buxom,buxom
homer,False,salet,buxom,buxom,winch,winch,winch
intro,False,salet,winch,bunch,bunch,quick,quick
gusty,False,salet,fjord,fjord,fjord,fjord,fjord
stone,False,salet,fjord,fjord,quick,quick,quick
piece,False,salet,quick,quick,bunch,fjord,fjord
magic,False,salet,fjord,fjord,fjord,fjord,fjord
whisk,False,salet,fjord,fjord,fjord,fjord,fjord
stain,False,salet,fjord,fjord,fjord,fjord,fjord
blind,False,salet,fjord,fjord,jumpy,jumpy,jumpy
churn,False,salet,jumpy,jumpy,jumpy,jumpy,nymph
nomad,False,salet,fjord,nymph,nymph,fjord,fjord
shock,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
bound,False,salet,jumpy,jumpy,nymph,nymph,fjord
waste,False,salet,fjord,fjord,fjord,fjord,fjord
organ,False,salet,fjord,wimpy,wimpy,wimpy,wimpy
crumb,False,salet,wimpy,wimpy,wimpy,wimpy,vying
scamp,False,salet,vying,vying,vying,vying,vying
curve,False,salet,vying,vying,brick,fjord,quick
stink,False,salet,wimpy,fjord,fjord,fjord,fjord
goofy,False,salet,fjord,nymph,nymph,nymph,quick
crawl,False,salet,quick,quick,quick,nymph,nymph
brand,False,salet,nymph,fjord,nymph,pudgy,jumpy
shiny,False,salet,jumpy,jumpy,jumpy,quick,quick
funky,False,salet,fjord,quick,fjord,fjord,quick
overt,False,salet,wimpy,wimpy,wimpy,wimpy,wimpy
faint,False,salet,wimpy,wimpy,buxom,buxom,buxom
clout,False,salet,buxom,nymph,nymph,nymph,nymph
fried,False,salet,nymph,nymph,nymph,nymph,nymph
oaken,False,salet,nymph,nymph,nymph,fjord,jumpy
flash,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
noble,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
reign,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
slope,False,salet,jumpy,jumpy,fjord,fjord,fjord
sadly,False,salet,brick,brick,brick,brick,brick
bluer,False,salet,brick,brick,jumpy,jumpy,wimpy
pouch,False,salet,wimpy,wimpy,wimpy,quick,winch
uncle,False,salet,fjord,fjord,fjord,fjord,fjord
hazel,False,salet,fjord,fjord,fjord,fjord,fjord
plait,False,salet,fjord,fjord,fjord,fjord,fjord
music,False,salet,fjord,fjord,fjord,fjord,fjord
waxen,False,salet,fjord,fjord,fjord,fjord,fjord
fussy,False,salet,fjord,fjord,howdy,winch,winch
baton,False,salet,winch,quick,quick,quick,quick
pulpy,False,salet,quick,quick,howdy,howdy,winch
taper,False,salet,winch,winch,winch,winch,winch
mound,False,salet,winch,winch,fjord,brick,brick
spray,False,salet,brick,brick,quick,quick,quick
debut,False,salet,quick,quick,wimpy,wimpy,wimpy
harry,False,salet,wimpy,wimpy,winch,winch,winch
meant,False,salet,brick,brick,brick,brick,brick
scalp,False,salet,brick,brick,brick,wimpy,fjord
trawl,False,salet,fjord,fjord,wimpy,wimpy,wimpy
saucy,False,salet,wimpy,wimpy,buxom,fjord,fjord
satin,False,salet,fjord,fjord,fjord,fjord,fjord
palsy,False,salet,fjord,fjord,fjord,fjord,fjord
scrap,False,salet,fjord,fjord,buxom,buxom,buxom
humor,False,salet,buxom,quick,quick,winch,winch
abort,False,salet,winch,winch,winch,winch,winch
dream,False,salet,winch,winch,winch,winch,winch
since,False,salet,winch,wimpy,fjord,fjord,fjord
hippo,False,salet,fjord,fjord,fjord,fjord,wimpy
covet,False,salet,wimpy,wimpy,wimpy,wimpy,wimpy
shock,False,salet,wimpy,wimpy,wimpy,wimpy,wimpy
rhino,False,salet,wimpy,wimpy,wimpy,fjord,fjord
lumen,False,salet,fjord,fjord,fjord,fjord,fjord
video,False,salet,fjord,wimpy,wimpy,wimpy,nymph
forgo,False,salet,nymph,nymph,nymph,nymph,nymph
morph,False,salet,nymph,nymph,fjord,fjord,fjord
fiery,False,salet,quick,quick,quick,fjord,fjord
sight,False,salet,pudgy,buxom,buxom,buxom,buxom
crown,False,salet,buxom,buxom,quick,jumpy,jumpy
goner,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
guide,False,salet,jumpy,jumpy,jumpy,nymph,nymph
umbra,False,salet,nymph,vying,vying,vying,vying
wordy,False,salet,vying,vying,fjord,vying,winch
inner,False,salet,winch,winch,fjord,fjord,fjord
filmy,False,salet,fjord,quick,quick,fjord,howdy
empty,False,salet,buxom,howdy,howdy,fjord,fjord
shaky,False,salet,fjord,fjord,fjord,fjord,fjord
ultra,False,salet,fjord,quick,quick,fjord,fjord
chasm,False,salet,howdy,howdy,quick,fjord,fjord
venom,False,salet,fjord,fjord,quick,quick,quick
tonga,False,salet,quick,quick,quick,quick,quick
mealy,False,salet,quick,quick,quick,quick,quick
fruit,False,salet,quick,quick,pudgy,fjord,fjord
broil,False,salet,nymph,nymph,nymph,nymph,nymph
towel,False,salet,nymph,nymph,nymph,nymph,nymph
tying,False,salet,nymph,fjord,fjord,fjord,fjord
shunt,False,salet,fjord,fjord,fjord,fjord,fjord
smock,False,salet,fjord,fjord,fjord,fjord,pudgy
bulge,False,salet,pudgy,nymph,nymph,nymph,nymph
blond,False,salet,nymph,nymph,brick,brick,quick
straw,False,salet,quick,quick,quick,quick,quick
donut,False,salet,quick,fjord,quick,brick,brick
chili,False,salet,brick,nymph,nymph,nymph,fjord
buddy,False,salet,fjord,fjord,wimpy,wimpy,wimpy
pupil,False,salet,brick,brick,brick,fjord,fjord
dough,False,salet,fjord,jumpy,jumpy,nymph,nymph
model,False,salet,nymph,nymph,brick,brick,brick
pivot,False,salet,brick,brick,fjord,fjord,fjord
clump,False,salet,nymph,nymph,fjord,fjord,fjord
drive,False,salet,fjord,brick,brick,fjord,fjord
plier,False,salet,nymph,nymph,nymph,quick,bunch
stink,False,salet,bunch,bunch,quick,fjord,fjord
baste,False,salet,fjord,fjord,fjord,fjord,fjord
hyper,False,salet,fjord,fjord,fjord,quick,quick
diode,False,salet,quick,quick,bunch,bunch,bunch
sugar,False,salet,bunch,bunch,howdy,howdy,howdy
shuck,False,salet,howdy,howdy,howdy,fjord,fjord
mound,False,salet,fjord,fjord,jumpy,jumpy,vying
valid,False,salet,vying,vying,jumpy,jumpy,jumpy
undid,False,salet,jumpy,jumpy,jumpy,fjord,fjord
guise,False,salet,nymph,nymph,nymph,nymph,nymph
marry,False,salet,nymph,fjord,fjord,fjord,fjord
candy,False,salet,nymph,fjord,fjord,fjord,brick
tulip,False,salet,brick,brick,brick,bunch,nymph
avoid,False,salet,fjord,nymph,nymph,nymph,nymph
wight,False,salet,nymph,nymph,nymph,jumpy,jumpy
north,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
donut,False,salet,jumpy,jumpy,jumpy,brick,brick
baron,False,salet,brick,brick,nymph,nymph,nymph
infer,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
binge,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
lunar,False,salet,jumpy,jumpy,nymph,fjord,fjord
gazer,False,salet,nymph,nymph,nymph,nymph,nymph
pushy,False,salet,nymph,fjord,fjord,fjord,fjord
aglow,False,salet,fjord,fjord,fjord,fjord,vying
color,False,salet,brick,vying,vying,vying,vying
spoof,False,salet,vying,vying,vying,vying,vying
burly,False,salet,vying,vying,vying,vying,quick
ethic,False,salet,quick,quick,fjord,fjord,fjord
venom,False,salet,fjord,fjord,fjord,fjord,jumpy
ovary,False,salet,jumpy,jumpy,jumpy,fjord,quick
scuba,False,salet,quick,quick,fjord,fjord,fjord
ovate,False,salet,fjord,fjord,fjord,nymph,nymph
above,False,salet,nymph,nymph,nymph,nymph,nymph
hound,False,salet,nymph,nymph,vying,brick,brick
smelt,False,salet,brick,brick,brick,brick,brick
giddy,False,salet,brick,brick,fjord,fjord,jumpy
twang,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
lager,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
medic,False,salet,jumpy,jumpy,fjord,fjord,brick
punch,False,salet,brick,brick,fjord,fjord,fjord
cabin,False,salet,fjord,fjord,fjord,fjord,fjord
gourd,False,salet,fjord,jumpy,jumpy,jumpy,jumpy
fling,False,salet,vying,vying,jumpy,jumpy,jumpy
valid,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
magic,False,salet,jumpy,jumpy,jumpy,fjord,fjord
quite,False,salet,fjord,fjord,fjord,fjord,fjord
vapor,False,salet,fjord,fjord,fjord,jumpy,jumpy
throb,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
glory,False,salet,jumpy,jumpy,jumpy,jumpy,quick
react,False,salet,quick,quick,quick,quick,fjord
toxic,False,salet,fjord,jumpy,jumpy,jumpy,jumpy
churn,False,salet,jumpy,jumpy,jumpy,fjord,fjord
wrong,False,salet,fjord,vying,vying,jumpy,jumpy
posit,False,salet,jumpy,jumpy,jumpy,brick,brick
goose,False,salet,fjord,fjord,brick,brick,brick
throw,False,salet,brick,brick,quick,quick,quick
pilot,False,salet,quick,quick,jumpy,jumpy,jumpy
smoke,False,salet,jumpy,quick,quick,jumpy,vying
toxic,False,salet,vying,vying,fjord,fjord,jumpy
wrath,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
medal,False,salet,jumpy,jumpy,jumpy,fjord,fjord
welch,False,salet,vying,vying,vying,vying,vying
scour,False,salet,vying,vying,vying,vying,vying
chafe,False,salet,vying,vying,vying,vying,vying
crush,False,salet,vying,vying,vying,vying,vying
lucky,False,salet,vying,fjord,fjord,fjord,fjord
ethic,False,salet,fjord,fjord,fjord,fjord,fjord
bacon,False,salet,fjord,fjord,quick,quick,vying
weird,False,salet,vying,vying,vying,fjord,jumpy
golly,False,salet,jumpy,jumpy,fjord,fjord,bunch
fried,False,salet,bunch,bunch,bunch,bunch,bunch
dirty,False,salet,bunch,bunch,bunch,bunch,bunch
chuck,False,salet,bunch,bunch,fjord,fjord,fjord
teddy,False,salet,fjord,fjord,fjord,fjord,vying
begin,False,salet,vying,jumpy,jumpy,jumpy,jumpy
flown,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
anime,False,salet,jumpy,jumpy,fjord,fjord,fjord
twixt,False,salet,fjord,fjord,fjord,fjord,fjord
while,False,salet,fjord,fjord,fjord,fjord,fjord
sadly,False,salet,fjord,fjord,fjord,fjord,jumpy
comma,False,salet,jumpy,jumpy,jumpy,brick,vying
femme,False,salet,vying,vying,vying,vying,vying
plait,False,salet,vying,vying,fjord,fjord,fjord
polka,False,salet,fjord,fjord,bunch,bunch,bunch
weird,False,salet,bunch,bunch,bunch,bunch,bunch
duchy,False,salet,bunch,bunch,vying,vying,fjord
flesh,False,salet,fjord,fjord,vying,vying,vying
meant,False,salet,vying,vying,vying,brick,brick
rowdy,False,salet,brick,brick,jumpy,jumpy,jumpy
clang,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
forum,False,salet,jumpy,brick,brick,brick,vying
query,False,salet,vying,vying,quick,quick,brick
ralph,False,salet,brick,brick,vying,vying,vying
fleck,False,salet,vying,vying,vying,vying,vying
artsy,False,salet,vying,vying,quick,quick,quick
speck,False,salet,quick,quick,quick,fjord,fjord
scale,False,salet,fjord,fjord,fjord,fjord,fjord
scare,False,salet,fjord,vying,vying,vying,vying
basic,False,salet,vying,vying,vying,fjord,fjord
march,False,salet,fjord,fjord,fjord,fjord,jumpy
chord,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
creak,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
crowd,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
shrew,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
botch,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
risky,False,salet,jumpy,jumpy,jumpy,buxom,buxom
vicar,False,salet,buxom,buxom,buxom,buxom,buxom
abbot,False,salet,buxom,bunch,bunch,fjord,winch
polar,False,salet,winch,winch,winch,winch,winch
staid,False,salet,winch,jumpy,jumpy,jumpy,jumpy
frond,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
kitty,False,salet,jumpy,jumpy,fjord,fjord,fjord
dread,False,salet,fjord,fjord,winch,winch,winch
dully,False,salet,winch,winch,winch,winch,winch
croak,False,salet,winch,winch,winch,jumpy,jumpy
quirk,False,salet,jumpy,jumpy,jumpy,vying,vying
shout,False,salet,vying,vying,vying,vying,vying
chief,False,salet,vying,vying,fjord,fjord,jumpy
prone,False,salet,jumpy,jumpy,buxom,buxom,buxom
cleft,False,salet,vying,vying,vying,vying,vying
eclat,False,salet,vying,vying,vying,vying,vying
hasty,False,salet,vying,vying,winch,buxom,buxom
ombre,False,salet,buxom,winch,winch,winch,winch
hydro,False,salet,winch,winch,winch,vying,fjord
grail,False,salet,vying,fjord,fjord,fjord,buxom
denim,False,salet,buxom,buxom,vying,fjord,fjord
brave,False,salet,fjord,bunch,bunch,vying,vying
joint,False,salet,winch,jumpy,jumpy,quick,quick
bylaw,False,salet,buxom,buxom,jumpy,quick,quick
black,False,salet,quick,fjord,fjord,fjord,fjord
cough,False,salet,fjord,fjord,jumpy,jumpy,jumpy
pique,False,salet,jumpy,fjord,fjord,fjord,fjord
fling,False,salet,fjord,vying,fjord,fjord,winch
gipsy,False,salet,jumpy,fjord,fjord,fjord,fjord
cabin,False,salet,fjord,fjord,fjord,fjord,fjord
spook,False,salet,fjord,winch,winch,winch,winch
curly,False,salet,winch,winch,winch,fjord,fjord
frost,False,salet,fjord,jumpy,jumpy,jumpy,jumpy
prism,False,salet,jumpy,vying,vying,vying,vying
tripe,False,salet,jumpy,vying,vying,jumpy,buxom
drawn,False,salet,buxom,buxom,buxom,buxom,buxom
scale,False,salet,buxom,buxom,buxom,buxom,buxom
unzip,False,salet,buxom,fjord,fjord,fjord,fjord
shaft,False,salet,fjord,fjord,fjord,vying,vying
perky,False,salet,vying,vying,buxom,buxom,buxom
bluff,False,salet,buxom,winch,winch,winch,winch
ghost,False,salet,winch,winch,winch,fjord,vying
drown,False,salet,vying,fjord,vying,vying,buxom
baron,False,salet,buxom,jumpy,jumpy,jumpy,jumpy
ruddy,False,salet,jumpy,quick,vying,vying,winch
spite,False,salet,winch,winch,winch,fjord,fjord
adept,False,salet,fjord,fjord,fjord,fjord,winch
whisk,False,salet,winch,buxom,buxom,buxom,buxom
being,False,salet,buxom,jumpy,jumpy,jumpy,jumpy
ralph,False,salet,jumpy,jumpy,jumpy,buxom,buxom
black,False,salet,buxom,fjord,fjord,fjord,fjord
thing,False,salet,fjord,fjord,fjord,fjord,fjord
twang,False,salet,fjord,fjord,fjord,fjord,fjord
novel,False,salet,fjord,fjord,quick,quick,quick
ounce,False,salet,quick,vying,vying,vying,fjord
shade,False,salet,fjord,fjord,jumpy,jumpy,jumpy
villa,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
prowl,False,salet,jumpy,quick,quick,quick,quick
bough,False,salet,quick,vying,vying,quick,quick
crypt,False,salet,fjord,fjord,vying,quick,quick
drown,False,salet,vying,quick,quick,quick,quick
cleat,False,salet,quick,quick,quick,buxom,buxom
quest,False,salet,buxom,fjord,fjord,fjord,fjord
ought,False,salet,fjord,vying,vying,fjord,fjord
crawl,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
chord,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
sleek,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
lover,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
fresh,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
chant,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
purge,False,salet,jumpy,jumpy,vying,fjord,fjord
dance,False,salet,vying,fjord,fjord,vying,vying
shoal,False,salet,fjord,vying,vying,vying,vying
stain,False,salet,vying,vying,fjord,fjord,fjord
cyber,False,salet,fjord,jumpy,jumpy,fjord,buxom
paler,False,salet,buxom,buxom,buxom,buxom,buxom
plunk,False,salet,buxom,buxom,fjord,fjord,fjord
swoon,False,salet,fjord,fjord,fjord,fjord,jumpy
cumin,False,salet,jumpy,quick,winch,fjord,fjord
urban,False,salet,fjord,fjord,fjord,fjord,jumpy
hater,False,salet,vying,vying,vying,vying,vying
click,False,salet,vying,jumpy,jumpy,jumpy,jumpy
depth,False,salet,jumpy,jumpy,jumpy,fjord,vying
money,False,salet,vying,fjord,fjord,fjord,fjord
drunk,False,salet,vying,quick,fjord,vying,vying
scone,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
march,False,salet,jumpy,fjord,vying,vying,vying
wrote,False,salet,vying,vying,vying,vying,vying
value,False,salet,vying,winch,winch,winch,winch
tuber,False,salet,winch,winch,winch,winch,winch
pedal,False,salet,winch,winch,winch,winch,winch
soapy,False,salet,winch,winch,winch,winch,winch
comic,False,salet,winch,winch,fjord,jumpy,jumpy
often,False,salet,fjord,jumpy,jumpy,jumpy,jumpy
flunk,False,salet,jumpy,jumpy,jumpy,jumpy,vying
cabby,False,salet,vying,vying,fjord,fjord,fjord
spelt,False,salet,fjord,fjord,fjord,fjord,fjord
crowd,False,salet,fjord,winch,winch,vying,vying
decal,False,salet,vying,vying,vying,vying,vying
depot,False,salet,vying,vying,vying,vying,vying
chuck,False,salet,vying,vying,vying,vying,vying
sprig,False,salet,vying,vying,jumpy,jumpy,fjord
lying,False,salet,fjord,fjord,fjord,fjord,fjord
urban,False,salet,fjord,fjord,jumpy,jumpy,jumpy
cavil,False,salet,nymph,nymph,nymph,nymph,nymph
lithe,False,salet,nymph,nymph,jumpy,jumpy,jumpy
proud,False,salet,jumpy,fjord,vying,vying,vying
vault,False,salet,vying,vying,vying,vying,jumpy
shove,False,salet,winch,jumpy,jumpy,jumpy,jumpy
perky,False,salet,jumpy,fjord,buxom,buxom,buxom
droit,False,salet,buxom,buxom,winch,winch,winch
corny,False,salet,jumpy,winch,buxom,buxom,jumpy
relay,False,salet,jumpy,buxom,buxom,buxom,buxom
deity,False,salet,buxom,buxom,buxom,buxom,buxom
ridge,False,salet,buxom,buxom,buxom,buxom,buxom
payer,False,salet,buxom,buxom,buxom,buxom,buxom
bluff,False,salet,buxom,winch,winch,winch,winch
sonic,False,salet,winch,fjord,fjord,fjord,fjord
thick,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
green,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
touch,False,salet,jumpy,jumpy,jumpy,fjord,fjord
gruel,False,salet,fjord,winch,winch,winch,winch
slick,False,salet,winch,winch,nymph,nymph,nymph
twice,False,salet,nymph,nymph,nymph,nymph,nymph
refit,False,salet,nymph,nymph,nymph,nymph,nymph
eight,False,salet,nymph,nymph,fjord,fjord,fjord
leash,False,salet,fjord,fjord,fjord,fjord,fjord
album,False,salet,fjord,fjord,fjord,fjord,fjord
trump,False,salet,fjord,jumpy,fjord,fjord,fjord
plate,False,salet,fjord,fjord,fjord,fjord,fjord
basil,False,salet,fjord,fjord,fjord,fjord,fjord
short,False,salet,fjord,vying,vying,vying,vying
large,False,salet,vying,jumpy,jumpy,jumpy,jumpy
belch,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
howdy,False,salet,jumpy,jumpy,jumpy,jumpy,fjord
croak,False,salet,winch,fjord,winch,jumpy,jumpy
staff,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
whiny,False,salet,jumpy,jumpy,jumpy,winch,fjord
tawny,False,salet,fjord,fjord,fjord,fjord,fjord
cumin,False,salet,fjord,fjord,fjord,fjord,fjord
found,False,salet,fjord,buxom,buxom,winch,winch
group,False,salet,winch,winch,winch,winch,winch
stunk,False,salet,winch,winch,winch,jumpy,jumpy
flint,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
money,False,salet,jumpy,quick,quick,quick,quick
stalk,False,salet,quick,quick,quick,fjord,fjord
wring,False,salet,fjord,winch,fjord,fjord,jumpy
daunt,False,salet,jumpy,jumpy,jumpy,fjord,fjord
midge,False,salet,winch,fjord,fjord,winch,jumpy
snout,False,salet,jumpy,jumpy,winch,fjord,fjord
knave,False,salet,winch,fjord,fjord,fjord,fjord
gouge,False,salet,fjord,fjord,fjord,jumpy,winch
metro,False,salet,winch,winch,winch,winch,winch
spore,False,salet,winch,winch,winch,winch,winch
stoop,False,salet,winch,winch,winch,winch,winch
chunk,False,salet,winch,jumpy,jumpy,jumpy,fjord
horny,False,salet,fjord,fjord,jumpy,jumpy,jumpy
rhino,False,salet,winch,jumpy,jumpy,jumpy,jumpy
birch,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
plush,False,salet,jumpy,jumpy,jumpy,fjord,fjord
clean,False,salet,fjord,fjord,fjord,fjord,fjord
jerky,False,salet,fjord,fjord,vying,winch,winch
vouch,False,salet,winch,winch,vying,vying,vying
privy,False,salet,vying,vying,fjord,fjord,fjord
verso,False,salet,buxom,buxom,buxom,buxom,winch
charm,False,salet,winch,winch,wimpy,wimpy,fjord
humor,False,salet,fjord,vying,vying,vying,vying
liken,False,salet,vying,jumpy,jumpy,jumpy,jumpy
erupt,False,salet,jumpy,jumpy,jumpy,fjord,fjord
cheap,False,salet,vying,vying,vying,vying,vying
banjo,False,salet,vying,vying,fjord,fjord,vying
storm,False,salet,wimpy,wimpy,vying,vying,vying
amber,False,salet,vying,vying,vying,vying,vying
usher,False,salet,vying,vying,vying,vying,vying
fried,False,salet,vying,vying,fjord,fjord,vying
tying,False,salet,vying,buxom,buxom,buxom,buxom
moist,False,salet,buxom,buxom,buxom,quick,quick
burst,False,salet,quick,quick,quick,quick,fjord
syrup,False,salet,fjord,fjord,winch,winch,winch
blimp,False,salet,winch,winch,winch,winch,fjord
baste,False,salet,fjord,fjord,fjord,fjord,fjord
unwed,False,salet,fjord,fjord,fjord,fjord,winch
augur,False,salet,vying,winch,winch,winch,winch
savor,False,salet,winch,winch,winch,winch,winch
glyph,False,salet,winch,winch,buxom,buxom,buxom
since,False,salet,buxom,buxom,buxom,buxom,buxom
party,False,salet,buxom,buxom,buxom,buxom,buxom
mover,False,salet,buxom,quick,quick,quick,quick
crony,False,salet,quick,quick,vying,vying,quick
trash,False,salet,fjord,fjord,buxom,buxom,buxom
antic,False,salet,buxom,buxom,buxom,buxom,buxom
trick,False,salet,buxom,buxom,buxom,buxom,buxom
dowdy,False,salet,buxom,jumpy,quick,quick,quick
gloat,False,salet,quick,quick,quick,quick,quick
grove,False,salet,quick,quick,quick,quick,quick
light,False,salet,quick,quick,quick,jumpy,jumpy
diver,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
would,False,salet,jumpy,jumpy,jumpy,jumpy,fjord
gusto,False,salet,fjord,fjord,fjord,nymph,nymph
risky,False,salet,nymph,nymph,nymph,nymph,winch
neigh,False,salet,winch,fjord,fjord,fjord,fjord
chick,False,salet,fjord,fjord,fjord,fjord,fjord
amend,False,salet,fjord,fjord,fjord,buxom,buxom
femur,False,salet,quick,quick,quick,fjord,fjord
proud,False,salet,winch,winch,winch,winch,winch
recur,False,salet,winch,winch,winch,fjord,vying
payer,False,salet,vying,vying,fjord,buxom,buxom
brief,False,salet,buxom,buxom,fjord,fjord,winch
bezel,False,salet,winch,winch,winch,winch,winch
dryly,False,salet,winch,winch,winch,winch,winch
input,False,salet,winch,nymph,buxom,buxom,buxom
train,False,salet,fjord,fjord,buxom,buxom,buxom
minor,False,salet,buxom,buxom,wimpy,winch,winch
soapy,False,salet,quick,quick,quick,quick,quick
drake,False,salet,quick,quick,winch,winch,winch
slush,False,salet,winch,fjord,fjord,fjord,fjord
plant,False,salet,fjord,fjord,fjord,fjord,fjord
turbo,False,salet,fjord,vying,vying,vying,vying
surly,False,salet,vying,vying,vying,winch,winch
scamp,False,salet,winch,winch,winch,fjord,fjord
bland,False,salet,fjord,buxom,buxom,vying,jumpy
aptly,False,salet,jumpy,fjord,fjord,fjord,fjord
sulky,False,salet,fjord,fjord,fjord,fjord,fjord
brake,False,salet,fjord,fjord,buxom,winch,winch
chirp,False,salet,winch,vying,buxom,buxom,buxom
screw,False,salet,buxom,buxom,buxom,buxom,buxom
shirt,False,salet,buxom,buxom,buxom,buxom,buxom
eying,False,salet,buxom,buxom,buxom,buxom,buxom
unmet,False,salet,buxom,buxom,fjord,fjord,fjord
jerky,False,salet,fjord,fjord,vying,vying,vying
laden,False,salet,vying,vying,vying,buxom,buxom
lunch,False,salet,buxom,buxom,buxom,fjord,fjord
sooth,False,salet,fjord,fjord,fjord,vying,vying
quick,False,salet,vying,vying,vying,vying,fjord
mucus,False,salet,fjord,fjord,fjord,fjord,fjord
inbox,False,salet,fjord,fjord,fjord,fjord,vying
curio,False,salet,vying,vying,vying,nymph,nymph
quasi,False,salet,nymph,nymph,nymph,nymph,nymph
gaudy,False,salet,nymph,nymph,fjord,fjord,fjord
hunky,False,salet,fjord,fjord,fjord,fjord,fjord
blend,False,salet,fjord,fjord,nymph,buxom,jumpy
ditch,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
grail,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
itchy,False,salet,jumpy,jumpy,buxom,buxom,buxom
logic,False,salet,buxom,buxom,winch,winch,buxom
abbot,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
piety,False,salet,jumpy,jumpy,buxom,buxom,buxom
corny,False,salet,buxom,buxom,winch,quick,quick
truce,False,salet,quick,buxom,buxom,fjord,fjord
slate,False,salet,winch,winch,winch,winch,winch
midst,False,salet,winch,fjord,fjord,winch,nymph
chime,False,salet,nymph,buxom,fjord,fjord,fjord
twine,False,salet,fjord,fjord,fjord,fjord,fjord
choir,False,salet,fjord,fjord,winch,winch,vying
crown,False,salet,vying,jumpy,jumpy,jumpy,jumpy
drank,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
swirl,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
solar,False,salet,jumpy,jumpy,jumpy,jumpy,jumpy
roomy,False,salet,jumpy,jumpy,fjord,quick,quick
holly,False,salet,quick,quick,quick,quick,quick
often,False,salet,quick,quick,quick,quick,quick
stein,False,salet,quick,quick,quick,fjord,fjord
finer,False,salet,fjord,fjord,buxom,buxom,buxom
crown,False,salet,buxom,buxom,buxom,quick,jumpy
jaunt,False,salet,jumpy,jumpy,quick,vying,vying
