Correct Word,Number of Guesses,1st Guess,2nd Guess,3rd Guess,4th Guess,5th Guess,6th Guess
cable,4,salet,early,fable,cable,,
hovel,3,salet,cruel,hovel,,,
elegy,4,salet,lemon,clerk,elegy,,
retro,4,salet,berth,metro,retro,,
debug,3,salet,begin,debug,,,
ledge,4,salet,lemon,leggy,ledge,,
arise,3,salet,aside,arise,,,
blush,5,salet,locus,plush,flush,blush,
piper,3,salet,pried,piper,,,
recur,4,salet,begin,decor,recur,,
dicey,4,salet,pried,video,dicey,,
liken,3,salet,cruel,liken,,,
dirty,4,salet,botch,unity,dirty,,
beget,4,salet,unmet,covet,beget,,
bayou,3,salet,bacon,bayou,,,
burnt,3,salet,doubt,burnt,,,
masse,4,salet,cause,parse,masse,,
chest,5,salet,exist,wrest,quest,chest,
azure,4,salet,abide,argue,azure,,
allow,3,salet,aglow,allow,,,
aphid,3,salet,abhor,aphid,,,
billy,5,salet,filmy,hilly,willy,billy,
lefty,3,salet,flute,lefty,,,
clear,5,salet,agile,bleak,clean,clear,
attic,4,salet,junta,today,attic,,
grimy,3,salet,bingo,grimy,,,
mauve,5,salet,barge,canoe,maize,mauve,
covey,4,salet,pried,boney,covey,,
dingo,3,salet,bingo,dingo,,,
afire,3,salet,abide,afire,,,
idler,3,salet,golem,idler,,,
fungi,3,salet,bingo,fungi,,,
paper,4,salet,baker,payer,paper,,
silky,3,salet,sulky,silky,,,
medal,5,salet,agile,bleak,decal,medal,
blend,4,salet,lemon,uncle,blend,,
blond,4,salet,blimp,blown,blond,,
alive,4,salet,agile,alike,alive,,
hatch,6,salet,baton,datum,patch,watch,hatch
brass,4,salet,arson,brash,brass,,
birch,3,salet,bingo,birch,,,
legal,5,salet,agile,gleam,regal,legal,
balmy,4,salet,ralph,valid,balmy,,
bushy,3,salet,bison,bushy,,,
bigot,4,salet,doubt,orbit,bigot,,
poker,3,salet,pried,poker,,,
gonad,4,salet,abhor,foamy,gonad,,
nomad,4,salet,abhor,foamy,nomad,,
regal,4,salet,agile,gleam,regal,,
print,4,salet,doubt,crypt,print,,
mamma,6,salet,bacon,fairy,madam,magma,mamma
jewel,6,salet,cruel,novel,impel,wheel,jewel
fatty,6,salet,baton,datum,patch,ratty,fatty
berth,2,salet,berth,,,,
tenet,3,salet,unmet,tenet,,,
scale,2,salet,scale,,,,
chuck,4,salet,bingo,crump,chuck,,
blare,4,salet,agile,blame,blare,,
fifty,5,salet,botch,unity,dirty,fifty,
bagel,3,salet,lager,bagel,,,
basin,2,salet,basin,,,,
snort,4,salet,scout,short,snort,,
shall,3,salet,scalp,shall,,,
reuse,4,salet,chose,rinse,reuse,,
birch,3,salet,bingo,birch,,,
extol,3,salet,flute,extol,,,
lorry,4,salet,blimp,could,lorry,,
covet,3,salet,unmet,covet,,,
buyer,4,salet,pried,boxer,buyer,,
olden,3,salet,cruel,olden,,,
minor,3,salet,bingo,minor,,,
anime,4,salet,abide,afire,anime,,
meter,5,salet,inter,voter,utter,meter,
buxom,3,salet,bingo,buxom,,,
anode,3,salet,abide,anode,,,
scarf,2,salet,scarf,,,,
birth,3,salet,botch,birth,,,
clued,3,salet,cruel,clued,,,
bayou,3,salet,bacon,bayou,,,
derby,3,salet,begin,derby,,,
embed,4,salet,pried,unfed,embed,,
super,4,salet,shied,sober,super,,
fleck,4,salet,lemon,clerk,fleck,,
madam,4,salet,bacon,fairy,madam,,
fable,3,salet,early,fable,,,
leggy,3,salet,lemon,leggy,,,
aroma,4,salet,abhor,acorn,aroma,,
found,4,salet,bingo,frond,found,,
entry,4,salet,brute,metro,entry,,
grope,5,salet,begin,judge,grove,grope,
sepia,4,salet,scare,sedan,sepia,,
nanny,6,salet,bacon,mangy,randy,fanny,nanny
lanky,4,salet,carol,gaily,lanky,,
crimp,4,salet,bingo,chirp,crimp,,
click,4,salet,blimp,cling,click,,
limit,3,salet,built,limit,,,
these,3,salet,ethos,these,,,
allow,3,salet,aglow,allow,,,
basin,3,salet,mason,basin,,,
amaze,5,salet,abide,argue,awoke,amaze,
girth,3,salet,botch,girth,,,
doing,3,salet,bingo,doing,,,
after,2,salet,after,,,,
ghoul,4,salet,blimp,could,ghoul,,
marry,6,salet,bacon,fairy,parry,harry,marry
round,4,salet,bingo,frond,round,,
humph,5,salet,bingo,crump,jumpy,humph,
chill,6,salet,blimp,guild,icily,chili,chill
spiky,5,salet,scion,shirk,skimp,spiky,
mound,5,salet,bingo,frond,hound,mound,
shore,4,salet,scone,shove,shore,,
polyp,4,salet,filmy,nylon,polyp,,
sewer,6,salet,shied,sober,super,sever,sewer
viral,5,salet,aloud,final,rival,viral,
proof,5,salet,bingo,chord,proxy,proof,
nutty,3,salet,botch,nutty,,,
shave,6,salet,scare,shade,shake,shape,shave
fifth,5,salet,botch,mirth,width,fifth,
print,4,salet,doubt,crypt,print,,
blare,4,salet,agile,blame,blare,,
bravo,4,salet,abhor,board,bravo,,
facet,2,salet,facet,,,,
devil,4,salet,lemon,reply,devil,,
antic,4,salet,junta,thank,antic,,
began,4,salet,abide,zebra,began,,
fewer,5,salet,pried,boxer,fever,fewer,
fruit,4,salet,doubt,grunt,fruit,,
ingot,4,salet,doubt,pivot,ingot,,
covet,4,salet,unmet,rivet,covet,,
baler,2,salet,baler,,,,
exalt,4,salet,alert,leapt,exalt,,
chime,4,salet,begin,chide,chime,,
hutch,4,salet,botch,ditch,hutch,,
pizza,4,salet,abhor,quack,pizza,,
choke,4,salet,begin,chore,choke,,
leech,4,salet,lemon,leggy,leech,,
snipe,5,salet,scone,singe,snide,snipe,
alarm,5,salet,aloud,align,alpha,alarm,
could,3,salet,blimp,could,,,
cycle,4,salet,lemon,clerk,cycle,,
adult,3,salet,aloft,adult,,,
crumb,3,salet,bingo,crumb,,,
crime,4,salet,begin,chide,crime,,
hitch,6,salet,botch,ditch,pitch,witch,hitch
shiny,3,salet,scion,shiny,,,
fiery,4,salet,begin,chide,fiery,,
flora,3,salet,aloud,flora,,,
debug,3,salet,begin,debug,,,
filmy,2,salet,filmy,,,,
found,4,salet,bingo,frond,found,,
cloth,2,salet,cloth,,,,
drive,4,salet,begin,chide,drive,,
burnt,3,salet,doubt,burnt,,,
query,4,salet,begin,chore,query,,
fever,4,salet,pried,boxer,fever,,
maker,3,salet,baker,maker,,,
crazy,5,salet,abhor,wrack,cramp,crazy,
quest,4,salet,exist,wrest,quest,,
buggy,3,salet,bingo,buggy,,,
await,5,salet,graft,chant,adapt,await,
bagel,3,salet,lager,bagel,,,
thigh,4,salet,botch,mirth,thigh,,
apron,3,salet,abhor,apron,,,
jaunt,4,salet,gamut,daunt,jaunt,,
ozone,5,salet,begin,crone,phone,ozone,
array,4,salet,abhor,angry,array,,
paint,3,salet,gamut,paint,,,
mealy,3,salet,agile,mealy,,,
amber,2,salet,amber,,,,
agony,3,salet,abhor,agony,,,
clove,4,salet,lemon,bloke,clove,,
ensue,4,salet,chose,issue,ensue,,
cairn,3,salet,bacon,cairn,,,
heard,4,salet,abide,cedar,heard,,
music,3,salet,bison,music,,,
biome,3,salet,begin,biome,,,
croup,4,salet,bingo,chord,croup,,
spite,3,salet,setup,spite,,,
covey,4,salet,pried,boney,covey,,
anode,3,salet,abide,anode,,,
crier,4,salet,pried,brief,crier,,
abhor,2,salet,abhor,,,,
blade,6,salet,agile,blame,blare,blaze,blade
bland,4,salet,aloud,gland,bland,,
fungi,3,salet,bingo,fungi,,,
giver,4,salet,pried,finer,giver,,
fella,3,salet,delay,fella,,,
forth,4,salet,botch,month,forth,,
magic,3,salet,bacon,magic,,,
demon,4,salet,begin,heron,demon,,
afoul,3,salet,aloud,afoul,,,
morph,5,salet,bingo,chord,humor,morph,
stink,4,salet,sixth,stick,stink,,
dread,5,salet,abide,cedar,dream,dread,
float,3,salet,aloft,float,,,
input,3,salet,doubt,input,,,
buxom,3,salet,bingo,buxom,,,
place,6,salet,agile,blame,flake,plane,place
freed,4,salet,pried,breed,freed,,
guard,5,salet,chair,ovary,dwarf,guard,
cabal,5,salet,carol,cavil,canal,cabal,
heron,3,salet,begin,heron,,,
flint,3,salet,built,flint,,,
gland,3,salet,aloud,gland,,,
death,6,salet,atone,extra,meaty,heath,death
lager,2,salet,lager,,,,
rouge,4,salet,begin,judge,rouge,,
mogul,3,salet,blimp,mogul,,,
chump,4,salet,bingo,crump,chump,,
guile,5,salet,lemon,clerk,while,guile,
bible,5,salet,lemon,clerk,while,bible,
cramp,3,salet,chair,cramp,,,
bushy,3,salet,bison,bushy,,,
flume,3,salet,lemon,flume,,,
stein,4,salet,setup,smite,stein,,
foray,4,salet,chair,organ,foray,,
flank,5,salet,aloud,flair,flaky,flank,
crept,3,salet,edict,crept,,,
hatch,6,salet,baton,datum,patch,watch,hatch
fiend,3,salet,begin,fiend,,,
bluff,4,salet,blimp,blown,bluff,,
graze,6,salet,abide,chafe,grave,grape,graze
sonar,3,salet,scary,sonar,,,
saute,2,salet,saute,,,,
paste,4,salet,haste,caste,paste,,
madly,5,salet,carol,gaily,manly,madly,
otter,5,salet,inter,voter,outer,otter,
patsy,3,salet,hasty,patsy,,,
mocha,3,salet,chair,mocha,,,
cress,3,salet,chose,cress,,,
feast,2,salet,feast,,,,
chasm,4,salet,arson,quash,chasm,,
grain,4,salet,chair,braid,grain,,
blown,3,salet,blimp,blown,,,
afoot,3,salet,graft,afoot,,,
jumbo,3,salet,bingo,jumbo,,,
swill,5,salet,scold,surly,skill,swill,
metro,3,salet,brute,metro,,,
baker,2,salet,baker,,,,
gorge,5,salet,begin,judge,forge,gorge,
photo,4,salet,botch,thorn,photo,,
exile,6,salet,lemon,clerk,while,guile,exile
aunty,3,salet,junta,aunty,,,
femur,4,salet,begin,decor,femur,,
hinge,4,salet,begin,eying,hinge,,
float,3,salet,aloft,float,,,
filer,4,salet,golem,ruler,filer,,
chirp,3,salet,bingo,chirp,,,
fetus,3,salet,ethos,fetus,,,
brace,3,salet,abide,brace,,,
cumin,3,salet,bingo,cumin,,,
girth,4,salet,botch,mirth,girth,,
freak,6,salet,abide,heavy,ocean,wreak,freak
navel,4,salet,layer,panel,navel,,
faint,5,salet,gamut,yacht,paint,faint,
debug,3,salet,begin,debug,,,
carol,2,salet,carol,,,,
canoe,3,salet,barge,canoe,,,
clued,3,salet,cruel,clued,,,
hutch,4,salet,botch,ditch,hutch,,
spear,5,salet,scare,shear,smear,spear,
avail,4,salet,aloud,anvil,avail,,
belly,5,salet,bilge,below,belch,belly,
broad,4,salet,chair,organ,broad,,
spurt,4,salet,scout,shunt,spurt,,
gaffe,4,salet,barge,vague,gaffe,,
cross,4,salet,bison,focus,cross,,
kinky,5,salet,bingo,finch,pinky,kinky,
gouge,5,salet,begin,judge,rouge,gouge,
berth,3,salet,brute,berth,,,
expel,5,salet,cruel,novel,impel,expel,
curvy,4,salet,bingo,crump,curvy,,
harry,5,salet,bacon,fairy,parry,harry,
navel,4,salet,layer,panel,navel,,
dozen,3,salet,pried,dozen,,,
lumen,3,salet,cruel,lumen,,,
honey,5,salet,pried,boney,money,honey,
dogma,4,salet,chair,among,dogma,,
jiffy,5,salet,bingo,picky,dizzy,jiffy,
blind,4,salet,blimp,blink,blind,,
algae,3,salet,agile,algae,,,
mucus,4,salet,bison,crush,mucus,,
afoot,3,salet,graft,afoot,,,
borne,3,salet,begin,borne,,,
ditto,4,salet,botch,intro,ditto,,
felon,4,salet,bilge,welch,felon,,
ficus,5,salet,bison,gipsy,virus,ficus,
roast,4,salet,angst,boast,roast,,
bicep,3,salet,pried,bicep,,,
slime,4,salet,shelf,slide,slime,,
clone,4,salet,lemon,noble,clone,,
haunt,6,salet,gamut,daunt,jaunt,vaunt,haunt
awash,4,salet,arson,amiss,awash,,
decay,4,salet,abide,cedar,decay,,
blurb,5,salet,blimp,block,bluff,blurb,
blink,3,salet,blimp,blink,,,
coyly,4,salet,blimp,curly,coyly,,
given,4,salet,pried,vixen,given,,
alien,2,salet,alien,,,,
green,4,salet,pried,creek,green,,
camel,6,salet,layer,panel,gavel,hazel,camel
artsy,3,salet,trash,artsy,,,
month,3,salet,botch,month,,,
chide,3,salet,begin,chide,,,
bench,3,salet,begin,bench,,,
curve,5,salet,begin,chore,crude,curve,
blend,4,salet,lemon,uncle,blend,,
coupe,4,salet,begin,chore,coupe,,
crowd,4,salet,bingo,chord,crowd,,
layer,2,salet,layer,,,,
aphid,3,salet,chair,aphid,,,
duchy,4,salet,bingo,crump,duchy,,
maxim,5,salet,bacon,fairy,vapid,maxim,
bleak,3,salet,agile,bleak,,,
flume,4,salet,lemon,plume,flume,,
bulky,3,salet,gulch,bulky,,,
puree,4,salet,pried,power,puree,,
canon,3,salet,bacon,canon,,,
mower,5,salet,pried,boxer,cower,mower,
demon,4,salet,begin,heron,demon,,
realm,3,salet,agile,realm,,,
filer,5,salet,golem,ruler,idler,filer,
ninth,6,salet,botch,mirth,width,fifth,ninth
metal,3,salet,fetal,metal,,,
brown,4,salet,bingo,bound,brown,,
gleam,3,salet,agile,gleam,,,
minus,3,salet,bison,minus,,,
dummy,4,salet,bingo,crump,dummy,,
beach,5,salet,abide,zebra,began,beach,
spelt,3,salet,slept,spelt,,,
plank,5,salet,aloud,flair,black,plank,
cleat,5,salet,alert,bleat,pleat,cleat,
fanny,5,salet,bacon,mangy,randy,fanny,
donor,3,salet,bingo,donor,,,
adage,4,salet,abide,adore,adage,,
gnash,3,salet,arson,gnash,,,
loopy,4,salet,blimp,prowl,loopy,,
algae,3,salet,agile,algae,,,
embed,4,salet,pried,unfed,embed,,
nasty,3,salet,hasty,nasty,,,
mummy,5,salet,bingo,crump,dummy,mummy,
allay,3,salet,aglow,allay,,,
slimy,4,salet,scold,sling,slimy,,
edict,2,salet,edict,,,,
prior,4,salet,bingo,ivory,prior,,
feign,5,salet,begin,reign,deign,feign,
humus,4,salet,bison,crush,humus,,
recut,4,salet,erupt,rebut,recut,,
clued,3,salet,cruel,clued,,,
modem,4,salet,pried,dozen,modem,,
ghoul,4,salet,blimp,curly,ghoul,,
crypt,3,salet,doubt,crypt,,,
color,4,salet,gulch,colon,color,,
gonad,4,salet,chair,among,gonad,,
girth,4,salet,botch,mirth,girth,,
brook,5,salet,bingo,buxom,brood,brook,
spurt,4,salet,scout,shunt,spurt,,
clank,5,salet,aloud,flair,black,clank,
bloke,3,salet,lemon,bloke,,,
bugle,5,salet,lemon,clerk,while,bugle,
sixth,2,salet,sixth,,,,
batch,3,salet,baton,batch,,,
bleed,5,salet,cruel,liken,bleep,bleed,
kneel,4,salet,cruel,novel,kneel,,
bench,3,salet,begin,bench,,,
ready,4,salet,abide,heady,ready,,
setup,2,salet,setup,,,,
islet,2,salet,islet,,,,
dowdy,4,salet,bingo,chord,dowdy,,
noble,3,salet,lemon,noble,,,
barge,2,salet,barge,,,,
lathe,4,salet,table,latte,lathe,,
clack,5,salet,aloud,flair,black,clack,
briny,4,salet,bingo,brink,briny,,
event,4,salet,erupt,evict,event,,
ghost,4,salet,crust,hoist,ghost,,
caper,4,salet,baker,payer,caper,,
daily,4,salet,carol,gaily,daily,,
arson,2,salet,arson,,,,
chunk,4,salet,bingo,drunk,chunk,,
flair,3,salet,aloud,flair,,,
crept,3,salet,erupt,crept,,,
fibre,4,salet,begin,imbue,fibre,,
awful,3,salet,aloud,awful,,,
knack,4,salet,chair,quack,knack,,
crave,6,salet,abide,chafe,craze,crane,crave
jewel,6,salet,cruel,novel,impel,wheel,jewel
brass,4,salet,arson,brash,brass,,
queen,4,salet,pried,boney,queen,,
feign,5,salet,begin,reign,deign,feign,
price,6,salet,begin,edify,prime,prize,price
binge,3,salet,begin,binge,,,
rivet,3,salet,unmet,rivet,,,
curve,5,salet,begin,chore,crude,curve,
bulky,3,salet,gulch,bulky,,,
covet,4,salet,unmet,rivet,covet,,
blink,3,salet,blimp,blink,,,
abbey,2,salet,abbey,,,,
farce,4,salet,mange,carve,farce,,
quilt,4,salet,built,guilt,quilt,,
awful,3,salet,aloud,awful,,,
fixer,4,salet,pried,finer,fixer,,
drove,6,salet,begin,chore,froze,prove,drove
frame,4,salet,abide,chafe,frame,,
urine,5,salet,begin,mince,opine,urine,
cheek,4,salet,pried,boney,cheek,,
oaken,3,salet,baker,oaken,,,
sissy,4,salet,scion,squib,sissy,,
brisk,3,salet,bison,brisk,,,
paler,3,salet,baler,paler,,,
swarm,5,salet,scary,shard,spark,swarm,
renal,6,salet,agile,leaky,decal,penal,renal
evoke,4,salet,begin,chore,evoke,,
outer,4,salet,inter,voter,outer,,
crony,4,salet,bingo,frond,crony,,
artsy,3,salet,trash,artsy,,,
beady,3,salet,abide,beady,,,
basic,4,salet,mason,raspy,basic,,
gloss,3,salet,locus,gloss,,,
gruel,3,salet,cruel,gruel,,,
tarot,5,salet,gamut,yacht,paint,tarot,
knack,4,salet,chair,quack,knack,,
sixth,3,salet,sixty,sixth,,,
filly,4,salet,gulch,milky,filly,,
khaki,3,salet,chair,khaki,,,
fecal,5,salet,agile,leaky,decal,fecal,
lithe,4,salet,flute,title,lithe,,
color,4,salet,gulch,colon,color,,
bloke,4,salet,lemon,whole,bloke,,
bench,3,salet,begin,bench,,,
clone,4,salet,lemon,noble,clone,,
paste,5,salet,haste,caste,waste,paste,
tonic,3,salet,botch,tonic,,,
clang,5,salet,aloud,flaky,plain,clang,
aging,5,salet,chair,axion,aping,aging,
built,2,salet,built,,,,
ashen,3,salet,askew,ashen,,,
ficus,5,salet,bison,gipsy,virus,ficus,
disco,3,salet,bison,disco,,,
rainy,4,salet,bacon,mangy,rainy,,
cater,4,salet,hater,water,cater,,
spill,5,salet,scold,surly,skill,spill,
slack,3,salet,scalp,slack,,,
stole,2,salet,stole,,,,
gross,5,salet,bison,focus,dross,gross,
lunch,4,salet,blimp,curly,lunch,,
flown,5,salet,blimp,cloud,glory,flown,
hairy,4,salet,bacon,fairy,hairy,,
brawn,5,salet,chair,ovary,brand,brawn,
waver,6,salet,baker,payer,gazer,wafer,waver
privy,3,salet,bingo,privy,,,
enter,3,salet,inter,enter,,,
donut,3,salet,doubt,donut,,,
ferry,5,salet,begin,decor,jerky,ferry,
angst,2,salet,angst,,,,
jerky,4,salet,begin,decor,jerky,,
spite,4,salet,suite,smite,spite,,
gecko,3,salet,begin,gecko,,,
posit,3,salet,crust,posit,,,
patch,4,salet,baton,datum,patch,,
bride,3,salet,begin,bride,,,
barge,3,salet,mange,barge,,,
attic,4,salet,junta,today,attic,,
cairn,3,salet,bacon,cairn,,,
quash,3,salet,arson,quash,,,
arise,3,salet,aside,arise,,,
money,4,salet,pried,boney,money,,
salve,2,salet,salve,,,,
habit,4,salet,gamut,yacht,habit,,
amiss,3,salet,arson,amiss,,,
apply,5,salet,aloud,anvil,amply,apply,
slave,3,salet,shale,slave,,,
swish,4,salet,scion,shirk,swish,,
grind,4,salet,bingo,dying,grind,,
gravy,4,salet,chair,ovary,gravy,,
naive,3,salet,mange,naive,,,
fluff,5,salet,blimp,cloud,flung,fluff,
curve,5,salet,begin,chore,crude,curve,
cider,3,salet,pried,cider,,,
outdo,4,salet,botch,intro,outdo,,
cover,5,salet,pried,boxer,cower,cover,
dealt,4,salet,alert,leapt,dealt,,
krill,6,salet,blimp,guild,icily,frill,krill
meaty,4,salet,atone,extra,meaty,,
itchy,3,salet,botch,itchy,,,
decry,4,salet,begin,decor,decry,,
faith,4,salet,baton,party,faith,,
fauna,5,salet,bacon,mangy,nadir,fauna,
musty,3,salet,dusty,musty,,,
broad,4,salet,chair,organ,broad,,
champ,3,salet,chair,champ,,,
amble,4,salet,agile,ample,amble,,
scant,2,salet,scant,,,,
bused,4,salet,miser,nosey,bused,,
moody,5,salet,bingo,chord,woody,moody,
filmy,4,salet,gulch,milky,filmy,,
drift,3,salet,doubt,drift,,,
start,6,salet,squat,shaft,scant,smart,start
pried,2,salet,pried,,,,
grain,4,salet,chair,braid,grain,,
dowdy,4,salet,bingo,chord,dowdy,,
smith,3,salet,sixty,smith,,,
focal,4,salet,aloud,coral,focal,,
comic,5,salet,bingo,ivory,opium,comic,
imbue,3,salet,begin,imbue,,,
elegy,4,salet,lemon,clerk,elegy,,
plank,5,salet,aloud,flaky,black,plank,
apron,4,salet,chair,organ,apron,,
enter,3,salet,inter,enter,,,
cramp,3,salet,chair,cramp,,,
brisk,3,salet,bison,brisk,,,
blown,4,salet,blimp,block,blown,,
rouge,4,salet,begin,judge,rouge,,
beard,3,salet,abide,beard,,,
hutch,4,salet,botch,ditch,hutch,,
basal,2,salet,basal,,,,
scoop,3,salet,scion,scoop,,,
giver,4,salet,pried,finer,giver,,
hyper,3,salet,pried,hyper,,,
amuse,4,salet,aside,abuse,amuse,,
since,3,salet,scone,since,,,
clump,3,salet,blimp,clump,,,
leaky,3,salet,agile,leaky,,,
cheek,4,salet,pried,boney,cheek,,
crock,5,salet,bingo,chord,croup,crock,
groom,4,salet,bingo,group,groom,,
chess,3,salet,chose,chess,,,
crest,4,salet,exist,wrest,crest,,
modem,4,salet,pried,dozen,modem,,
fixer,4,salet,pried,finer,fixer,,
moult,3,salet,flout,moult,,,
apply,5,salet,aloud,anvil,amply,apply,
tunic,3,salet,botch,tunic,,,
notch,3,salet,botch,notch,,,
maker,3,salet,baker,maker,,,
arrow,4,salet,chair,organ,arrow,,
aging,5,salet,chair,axion,aping,aging,
grill,4,salet,blimp,guild,grill,,
atoll,3,salet,aptly,atoll,,,
comet,3,salet,unmet,comet,,,
borax,4,salet,chair,organ,borax,,
salon,2,salet,salon,,,,
avian,4,salet,chair,axion,avian,,
daunt,3,salet,gamut,daunt,,,
shout,4,salet,scout,spout,shout,,
fugue,4,salet,begin,rogue,fugue,,
chore,3,salet,begin,chore,,,
heard,4,salet,abide,cedar,heard,,
penny,4,salet,begin,nerdy,penny,,
goose,5,salet,chose,prose,noose,goose,
comet,3,salet,unmet,comet,,,
rough,3,salet,bingo,rough,,,
along,3,salet,aloud,along,,,
array,4,salet,chair,organ,array,,
chess,3,salet,chose,chess,,,
neigh,3,salet,begin,neigh,,,
grain,4,salet,chair,braid,grain,,
alarm,5,salet,aloud,align,alpha,alarm,
eerie,4,salet,begin,medic,eerie,,
caste,3,salet,haste,caste,,,
every,4,salet,begin,epoch,every,,
flour,4,salet,blimp,cloud,flour,,
anime,4,salet,abide,afire,anime,,
again,3,salet,chair,again,,,
roost,4,salet,crust,worst,roost,,
earth,3,salet,haute,earth,,,
lurch,4,salet,blimp,curly,lurch,,
maybe,3,salet,mange,maybe,,,
anvil,3,salet,aloud,anvil,,,
aloft,2,salet,aloft,,,,
bring,3,salet,bingo,bring,,,
float,3,salet,aloft,float,,,
chard,4,salet,chair,charm,chard,,
molar,3,salet,aglow,molar,,,
basin,3,salet,mason,basin,,,
hoist,3,salet,crust,hoist,,,
stand,4,salet,stack,staid,stand,,
brace,3,salet,abide,brace,,,
clock,5,salet,blimp,cloud,clown,clock,
crick,5,salet,bingo,quirk,prick,crick,
lathe,4,salet,table,latte,lathe,,
newer,5,salet,pried,boxer,fever,newer,
brunt,3,salet,doubt,brunt,,,
gumbo,3,salet,bingo,gumbo,,,
inert,4,salet,erupt,overt,inert,,
arise,3,salet,aside,arise,,,
study,4,salet,sixty,stony,study,,
haste,2,salet,haste,,,,
inlay,3,salet,aglow,inlay,,,
extol,3,salet,flute,extol,,,
dimly,3,salet,blimp,dimly,,,
groan,4,salet,chair,organ,groan,,
heron,3,salet,begin,heron,,,
harpy,4,salet,bacon,fairy,harpy,,
aback,5,salet,chair,quack,knack,aback,
catch,6,salet,baton,datum,patch,watch,catch
dairy,4,salet,bacon,fairy,dairy,,
draft,4,salet,graft,craft,draft,,
elfin,3,salet,lemon,elfin,,,
aloft,2,salet,aloft,,,,
gecko,3,salet,begin,gecko,,,
entry,4,salet,brute,tenor,entry,,
acrid,3,salet,chair,acrid,,,
shall,4,salet,scalp,small,shall,,
chasm,4,salet,arson,quasi,chasm,,
elide,5,salet,lemon,clerk,glide,elide,
elope,6,salet,lemon,whole,globe,clove,elope
snoop,4,salet,scion,synod,snoop,,
broil,3,salet,blimp,broil,,,
jumbo,3,salet,bingo,jumbo,,,
banjo,3,salet,bacon,banjo,,,
extra,3,salet,atone,extra,,,
rival,4,salet,aloud,final,rival,,
razor,5,salet,bacon,major,vapor,razor,
decry,4,salet,begin,decor,decry,,
flask,3,salet,flash,flask,,,
genie,3,salet,begin,genie,,,
fried,3,salet,pried,fried,,,
board,4,salet,chair,ovary,board,,
racer,6,salet,baker,payer,gazer,wafer,racer
bongo,3,salet,bingo,bongo,,,
grind,4,salet,bingo,dying,grind,,
rainy,4,salet,bacon,mangy,rainy,,
scour,3,salet,scion,scour,,,
ninny,6,salet,bingo,finch,pinky,windy,ninny
apnea,4,salet,amber,annex,apnea,,
being,3,salet,begin,being,,,
admit,4,salet,graft,about,admit,,
caulk,3,salet,carol,caulk,,,
dogma,4,salet,chair,among,dogma,,
cross,4,salet,bison,focus,cross,,
clued,3,salet,cruel,clued,,,
began,4,salet,abide,zebra,began,,
furor,5,salet,bingo,chord,forum,furor,
bleat,3,salet,alert,bleat,,,
cedar,3,salet,abide,cedar,,,
lever,6,salet,cruel,liner,lower,leper,lever
scope,3,salet,scone,scope,,,
broth,3,salet,botch,broth,,,
gauze,4,salet,mange,vague,gauze,,
cable,4,salet,early,fable,cable,,
ladle,5,salet,early,fable,maple,ladle,
cairn,3,salet,bacon,cairn,,,
navel,4,salet,lager,panel,navel,,
civic,5,salet,bingo,picky,mimic,civic,
flour,4,salet,blimp,cloud,flour,,
ninja,4,salet,chair,axion,ninja,,
stead,3,salet,skate,stead,,,
emcee,5,salet,pried,boney,cheek,emcee,
aroma,5,salet,chair,organ,arrow,aroma,
cigar,3,salet,chair,cigar,,,
coach,3,salet,chair,coach,,,
skiff,5,salet,scion,shirk,skimp,skiff,
itchy,3,salet,botch,itchy,,,
gayly,4,salet,carol,gaily,gayly,,
trait,4,salet,graft,tract,trait,,
dumpy,5,salet,bingo,crump,jumpy,dumpy,
pagan,3,salet,bacon,pagan,,,
cough,3,salet,bingo,cough,,,
growl,4,salet,blimp,curly,growl,,
affix,4,salet,chair,avoid,affix,,
frame,4,salet,abide,chafe,frame,,
elate,4,salet,fetal,plate,elate,,
mambo,3,salet,bacon,mambo,,,
elope,6,salet,lemon,whole,globe,clove,elope
dirge,5,salet,begin,grime,ridge,dirge,
stain,4,salet,stack,staid,stain,,
crick,5,salet,bingo,quirk,prick,crick,
mauve,5,salet,mange,maize,maybe,mauve,
final,3,salet,aloud,final,,,
deuce,4,salet,begin,decor,deuce,,
ember,5,salet,pried,boxer,cyber,ember,
booty,3,salet,botch,booty,,,
blade,6,salet,agile,blame,blare,blaze,blade
pinch,4,salet,bingo,finch,pinch,,
inter,2,salet,inter,,,,
tulip,3,salet,filth,tulip,,,
ebony,3,salet,begin,ebony,,,
hippo,4,salet,bingo,micro,hippo,,
aunty,3,salet,junta,aunty,,,
droop,4,salet,bingo,chord,droop,,
blade,6,salet,agile,blame,blare,blaze,blade
mocha,3,salet,chair,mocha,,,
baton,2,salet,baton,,,,
array,4,salet,chair,organ,array,,
quake,5,salet,abide,chafe,grave,quake,
dowry,4,salet,bingo,chord,dowry,,
felon,4,salet,bilge,welch,felon,,
check,4,salet,begin,epoch,check,,
known,5,salet,bingo,frond,knock,known,
ample,3,salet,agile,ample,,,
alien,3,salet,angel,alien,,,
queen,4,salet,pried,boney,queen,,
horny,4,salet,bingo,frond,horny,,
snuck,3,salet,scion,snuck,,,
lumen,3,salet,cruel,lumen,,,
crest,4,salet,exist,wrest,crest,,
afire,3,salet,abide,afire,,,
noose,4,salet,chose,prose,noose,,
slick,3,salet,scold,slick,,,
golly,3,salet,gulch,golly,,,
briny,4,salet,bingo,brink,briny,,
