Correct Word,Number of Guesses,1st Guess,2nd Guess,3rd Guess,4th Guess,5th Guess,6th Guess
light,3,salet,built,light,,,
brisk,3,salet,bison,brisk,,,
chill,5,salet,blimp,child,chili,chill,
human,4,salet,abhor,whack,human,,
gouge,5,salet,begin,fudge,rouge,gouge,
honey,4,salet,bicep,dozen,honey,,
tardy,4,salet,baton,party,tardy,,
cheat,3,salet,adept,cheat,,,
berry,3,salet,begin,berry,,,
elfin,3,salet,bloke,elfin,,,
forty,3,salet,botch,forty,,,
magic,3,salet,bacon,magic,,,
aunty,3,salet,junta,aunty,,,
funky,3,salet,bingo,funky,,,
align,3,salet,afoul,align,,,
crepe,6,salet,begin,chore,crude,creme,crepe
decoy,4,salet,begin,decor,decoy,,
teeth,5,salet,berth,depth,tenth,teeth,
igloo,3,salet,filmy,igloo,,,
skirt,4,salet,scout,shift,skirt,,
fugue,4,salet,begin,rogue,fugue,,
crazy,4,salet,abhor,wrack,crazy,,
alive,4,salet,agile,alike,alive,,
smack,5,salet,scarf,shack,snack,smack,
cough,3,salet,bingo,cough,,,
drift,3,salet,bigot,drift,,,
chant,3,salet,abort,chant,,,
glove,4,salet,bloke,clone,glove,,
navel,4,salet,camel,gavel,navel,,
croup,4,salet,bingo,chord,croup,,
betel,3,salet,hotel,betel,,,
slung,4,salet,scold,slimy,slung,,
favor,3,salet,bacon,favor,,,
lunch,5,salet,blimp,could,lucky,lunch,
scrum,4,salet,scion,scrub,scrum,,
cavil,3,salet,carol,cavil,,,
amity,4,salet,junta,wrath,amity,,
deign,3,salet,begin,deign,,,
anger,2,salet,anger,,,,
quake,5,salet,abide,chafe,grave,quake,
chief,3,salet,bicep,chief,,,
light,3,salet,built,light,,,
broad,4,salet,abhor,board,broad,,
quoth,4,salet,botch,froth,quoth,,
dingo,3,salet,bingo,dingo,,,
found,4,salet,bingo,crony,found,,
crawl,4,salet,afoul,brawl,crawl,,
crank,4,salet,abhor,wrack,crank,,
phase,4,salet,abuse,chase,phase,,
dress,3,salet,chose,dress,,,
bitty,3,salet,botch,bitty,,,
lousy,3,salet,flush,lousy,,,
cliff,5,salet,blimp,cling,click,cliff,
corny,4,salet,bingo,crony,corny,,
drink,4,salet,bingo,cumin,drink,,
piece,4,salet,begin,chide,piece,,
druid,4,salet,bingo,chirp,druid,,
leery,5,salet,bloke,newly,leggy,leery,
abort,2,salet,abort,,,,
booty,3,salet,botch,booty,,,
catch,False,salet,baton,datum,patch,watch,hatch
gawky,5,salet,bacon,fairy,gaudy,gawky,
curse,3,salet,chose,curse,,,
dirty,3,salet,botch,dirty,,,
floss,3,salet,flush,floss,,,
rural,4,salet,afoul,mural,rural,,
hymen,4,salet,bicep,dozen,hymen,,
feral,6,salet,agile,bleak,decal,penal,feral
thong,3,salet,botch,thong,,,
acorn,3,salet,abhor,acorn,,,
quick,5,salet,bingo,chirp,juicy,quick,
clock,5,salet,blimp,cloud,clown,clock,
blind,3,salet,blimp,blind,,,
intro,3,salet,botch,intro,,,
flyer,5,salet,bluer,older,plier,flyer,
check,4,salet,begin,chore,check,,
poesy,3,salet,chose,poesy,,,
chunk,3,salet,bingo,chunk,,,
jelly,5,salet,belch,felon,delve,jelly,
hyper,4,salet,bicep,dopey,hyper,,
loamy,3,salet,afoul,loamy,,,
polar,4,salet,aglow,molar,polar,,
child,3,salet,blimp,child,,,
awful,3,salet,afoul,awful,,,
sepia,4,salet,scare,sedan,sepia,,
cheek,4,salet,bicep,coven,cheek,,
crept,2,salet,crept,,,,
plied,4,salet,bluer,olden,plied,,
alibi,5,salet,afoul,amply,align,alibi,
duchy,4,salet,bingo,crump,duchy,,
bonus,3,salet,bison,bonus,,,
clued,3,salet,bluer,clued,,,
basil,3,salet,basal,basil,,,
acrid,3,salet,abhor,acrid,,,
alarm,4,salet,afoul,amply,alarm,,
allay,3,salet,aglow,allay,,,
drank,6,salet,abhor,wrack,prank,frank,drank
aping,4,salet,abhor,admin,aping,,
court,4,salet,bigot,count,court,,
artsy,2,salet,artsy,,,,
beast,2,salet,beast,,,,
noise,4,salet,chose,mouse,noise,,
dress,5,salet,chose,guess,press,dress,
admit,4,salet,giant,audit,admit,,
amaze,5,salet,abide,argue,awoke,amaze,
prude,4,salet,begin,chore,prude,,
place,6,salet,agile,blame,flake,plane,place
flown,5,salet,blimp,cloud,glory,flown,
curse,3,salet,chose,curse,,,
tower,4,salet,inter,other,tower,,
covet,2,salet,covet,,,,
egret,5,salet,unmet,rivet,beret,egret,
eight,3,salet,edict,eight,,,
myrrh,4,salet,bingo,crump,myrrh,,
elegy,4,salet,bloke,elfin,elegy,,
drift,4,salet,bigot,fruit,drift,,
olive,3,salet,bloke,olive,,,
drama,5,salet,abhor,wrack,drain,drama,
flush,2,salet,flush,,,,
skulk,4,salet,scold,surly,skulk,,
gouge,5,salet,begin,fudge,rouge,gouge,
avoid,4,salet,abhor,agony,avoid,,
alter,2,salet,alter,,,,
beard,3,salet,abide,beard,,,
apply,4,salet,afoul,amply,apply,,
bloke,2,salet,bloke,,,,
crowd,4,salet,bingo,chord,crowd,,
guile,4,salet,lemon,clerk,guile,,
pagan,3,salet,bacon,pagan,,,
larva,3,salet,carol,larva,,,
apron,3,salet,abhor,apron,,,
macho,3,salet,bacon,macho,,,
sauce,2,salet,sauce,,,,
dread,5,salet,abide,cedar,dream,dread,
spree,5,salet,shied,sober,screw,spree,
bluer,2,salet,bluer,,,,
chute,4,salet,berth,white,chute,,
acrid,4,salet,abhor,angry,acrid,,
badge,3,salet,barge,badge,,,
begun,3,salet,begin,begun,,,
sappy,5,salet,sandy,saucy,savoy,sappy,
chest,3,salet,crest,chest,,,
nurse,4,salet,chose,guise,nurse,,
admin,3,salet,abhor,admin,,,
delve,4,salet,belch,felon,delve,,
croak,3,salet,abhor,croak,,,
batch,3,salet,baton,batch,,,
grown,3,salet,bingo,grown,,,
adorn,3,salet,abhor,adorn,,,
foist,3,salet,crust,foist,,,
blush,4,salet,locus,plush,blush,,
leant,4,salet,alert,exalt,leant,,
razor,5,salet,bacon,major,vapor,razor,
brass,4,salet,arson,brash,brass,,
moody,4,salet,bingo,chord,moody,,
agora,4,salet,abhor,acorn,agora,,
ethic,3,salet,berth,ethic,,,
artsy,3,salet,trash,artsy,,,
baggy,4,salet,bacon,bawdy,baggy,,
dowel,3,salet,cruel,dowel,,,
ninja,4,salet,abhor,quack,ninja,,
human,4,salet,abhor,whack,human,,
hence,6,salet,begin,nerdy,venom,wench,hence
fatal,2,salet,fatal,,,,
adage,4,salet,abide,adore,adage,,
alter,2,salet,alter,,,,
angry,3,salet,abhor,angry,,,
alike,3,salet,agile,alike,,,
react,5,salet,adept,begat,meant,react,
berry,3,salet,begin,berry,,,
shame,5,salet,scare,shade,shake,shame,
clone,4,salet,lemon,noble,clone,,
dopey,3,salet,bicep,dopey,,,
forgo,3,salet,bingo,forgo,,,
fudge,3,salet,begin,fudge,,,
align,4,salet,afoul,amply,align,,
cadet,2,salet,cadet,,,,
crown,4,salet,bingo,crony,crown,,
churn,4,salet,bingo,drunk,churn,,
going,4,salet,bingo,doing,going,,
dolly,4,salet,filmy,bulky,dolly,,
chasm,4,salet,arson,quash,chasm,,
elect,3,salet,dwelt,elect,,,
brass,4,salet,arson,brash,brass,,
caulk,3,salet,carol,caulk,,,
ridge,4,salet,begin,grime,ridge,,
amuse,3,salet,abuse,amuse,,,
basic,2,salet,basic,,,,
dilly,3,salet,filmy,dilly,,,
camel,2,salet,camel,,,,
ensue,3,salet,chose,ensue,,,
chaos,3,salet,arson,chaos,,,
lithe,3,salet,flute,lithe,,,
knife,4,salet,begin,fiend,knife,,
abuse,2,salet,abuse,,,,
tarot,4,salet,caput,faint,tarot,,
banal,4,salet,carol,naval,banal,,
druid,4,salet,bingo,chirp,druid,,
avert,4,salet,adept,agent,avert,,
hydro,3,salet,bingo,hydro,,,
juice,4,salet,begin,chide,juice,,
drier,4,salet,bicep,fried,drier,,
abyss,4,salet,arson,amiss,abyss,,
sappy,5,salet,sandy,saucy,savoy,sappy,
decry,4,salet,begin,decor,decry,,
abled,2,salet,abled,,,,
dutch,4,salet,botch,ditch,dutch,,
moose,5,salet,chose,prose,goose,moose,
bezel,6,salet,cruel,hovel,impel,jewel,bezel
alley,2,salet,alley,,,,
flick,4,salet,blimp,cling,flick,,
claim,5,salet,afoul,black,clamp,claim,
eagle,3,salet,early,eagle,,,
await,4,salet,giant,trait,await,,
ratio,4,salet,baton,patio,ratio,,
joker,5,salet,bicep,dozen,homer,joker,
daily,4,salet,carol,gaily,daily,,
pasty,4,salet,hasty,nasty,pasty,,
dally,4,salet,ralph,valid,dally,,
bawdy,3,salet,bacon,bawdy,,,
rigid,3,salet,bingo,rigid,,,
since,3,salet,scone,since,,,
gumbo,3,salet,bingo,gumbo,,,
magic,3,salet,bacon,magic,,,
sloth,2,salet,sloth,,,,
payee,4,salet,baker,cagey,payee,,
demur,4,salet,begin,decor,demur,,
axion,3,salet,abhor,axion,,,
robin,4,salet,bingo,inbox,robin,,
imply,3,salet,blimp,imply,,,
gaunt,5,salet,caput,daunt,jaunt,gaunt,
batty,4,salet,baton,batch,batty,,
after,2,salet,after,,,,
fiber,3,salet,bicep,fiber,,,
above,3,salet,abide,above,,,
downy,4,salet,bingo,crony,downy,,
shown,4,salet,scion,shorn,shown,,
femur,4,salet,begin,decor,femur,,
irony,3,salet,bingo,irony,,,
attic,4,salet,junta,today,attic,,
alloy,3,salet,aglow,alloy,,,
crest,2,salet,crest,,,,
daisy,3,salet,basin,daisy,,,
grace,4,salet,abide,chafe,grace,,
lyric,4,salet,blimp,girly,lyric,,
audio,4,salet,abhor,agony,audio,,
dally,4,salet,ralph,valid,dally,,
adore,3,salet,abide,adore,,,
debar,3,salet,abide,debar,,,
feral,6,salet,agile,bleak,decal,penal,feral
jazzy,6,salet,bacon,fairy,gaudy,happy,jazzy
bongo,3,salet,bingo,bongo,,,
parry,4,salet,bacon,fairy,parry,,
betel,3,salet,hotel,betel,,,
gnome,3,salet,begin,gnome,,,
fling,4,salet,blimp,cling,fling,,
axiom,3,salet,abhor,axiom,,,
lying,4,salet,blimp,guild,lying,,
eking,3,salet,begin,eking,,,
altar,3,salet,aptly,altar,,,
outdo,4,salet,botch,intro,outdo,,
anode,3,salet,abide,anode,,,
deign,3,salet,begin,deign,,,
prick,4,salet,bingo,chirp,prick,,
cameo,4,salet,baker,cagey,cameo,,
ensue,4,salet,chose,issue,ensue,,
acrid,4,salet,abhor,angry,acrid,,
catty,5,salet,baton,datum,patch,catty,
drank,6,salet,abhor,wrack,prank,frank,drank
exalt,3,salet,alert,exalt,,,
berry,3,salet,begin,berry,,,
pivot,3,salet,bigot,pivot,,,
scald,2,salet,scald,,,,
creed,6,salet,bicep,coven,cheer,creek,creed
eclat,2,salet,eclat,,,,
fanny,5,salet,bacon,mangy,randy,fanny,
issue,3,salet,chose,issue,,,
budge,3,salet,begin,budge,,,
cater,4,salet,hater,water,cater,,
audio,4,salet,abhor,agony,audio,,
abuse,3,salet,aside,abuse,,,
anger,4,salet,abbey,aider,anger,,
onset,2,salet,onset,,,,
being,3,salet,begin,being,,,
taint,4,salet,caput,faint,taint,,
gusty,3,salet,dusty,gusty,,,
every,5,salet,begin,chore,query,every,
augur,3,salet,abhor,augur,,,
alloy,3,salet,aglow,alloy,,,
harsh,4,salet,basin,marsh,harsh,,
apron,3,salet,abhor,apron,,,
freer,5,salet,bicep,dozen,fever,freer,
quart,4,salet,giant,craft,quart,,
fella,3,salet,delay,fella,,,
retch,3,salet,berth,retch,,,
crony,3,salet,bingo,crony,,,
curio,3,salet,bingo,curio,,,
snout,4,salet,scout,shout,snout,,
awful,3,salet,afoul,awful,,,
junto,3,salet,botch,junto,,,
bawdy,3,salet,bacon,bawdy,,,
agent,3,salet,adept,agent,,,
medic,3,salet,begin,medic,,,
ingot,3,salet,bigot,ingot,,,
drawn,5,salet,abhor,wrack,prawn,drawn,
cleft,3,salet,dwelt,cleft,,,
stool,2,salet,stool,,,,
lupus,3,salet,locus,lupus,,,
saint,2,salet,saint,,,,
slice,3,salet,shelf,slice,,,
debar,4,salet,abide,beard,debar,,
geeky,4,salet,begin,gecko,geeky,,
cabin,3,salet,bacon,cabin,,,
cheap,3,salet,abide,cheap,,,
adage,4,salet,abide,adore,adage,,
bride,3,salet,begin,bride,,,
blond,3,salet,blimp,blond,,,
spree,5,salet,shied,sober,screw,spree,
awash,4,salet,arson,amiss,awash,,
level,5,salet,cruel,hovel,bevel,level,
ready,4,salet,abide,heady,ready,,
dolly,False,salet,filmy,bulky,golly,holly,jolly
empty,3,salet,berth,empty,,,
check,4,salet,begin,chore,check,,
abbot,4,salet,giant,abort,abbot,,
tilde,2,salet,tilde,,,,
rarer,False,salet,baker,payer,gazer,wafer,racer
jelly,5,salet,belch,felon,delve,jelly,
front,4,salet,bigot,count,front,,
fiber,3,salet,bicep,fiber,,,
break,4,salet,abide,zebra,break,,
gummy,3,salet,bingo,gummy,,,
bawdy,3,salet,bacon,bawdy,,,
camel,3,salet,laden,camel,,,
brace,3,salet,abide,brace,,,
laden,2,salet,laden,,,,
idyll,4,salet,blimp,girly,idyll,,
shout,3,salet,scout,shout,,,
amply,3,salet,afoul,amply,,,
house,4,salet,chose,horse,house,,
lemur,3,salet,lemon,lemur,,,
crash,4,salet,arson,brash,crash,,
bicep,2,salet,bicep,,,,
boost,4,salet,crust,ghost,boost,,
sheep,5,salet,shied,shrew,sheen,sheep,
chant,3,salet,giant,chant,,,
afire,3,salet,abide,afire,,,
adapt,4,salet,giant,craft,adapt,,
smoke,4,salet,scone,shove,smoke,,
cargo,3,salet,bacon,cargo,,,
relay,3,salet,delay,relay,,,
agora,4,salet,abhor,acorn,agora,,
elect,4,salet,dwelt,cleft,elect,,
gloss,3,salet,locus,gloss,,,
forge,4,salet,begin,judge,forge,,
lithe,3,salet,flute,lithe,,,
amiss,3,salet,arson,amiss,,,
affix,4,salet,abhor,admin,affix,,
awake,5,salet,abide,argue,awoke,awake,
sassy,6,salet,sandy,saucy,savoy,sappy,sassy
lance,3,salet,early,lance,,,
abate,4,salet,atone,acute,abate,,
brawn,4,salet,abhor,braid,brawn,,
goose,4,salet,chose,prose,goose,,
grain,5,salet,abhor,wrack,drain,grain,
squad,4,salet,scarf,sigma,squad,,
count,3,salet,bigot,count,,,
screw,4,salet,shied,sober,screw,,
eject,3,salet,edict,eject,,,
gruel,3,salet,cruel,gruel,,,
kebab,4,salet,abide,zebra,kebab,,
adage,4,salet,abide,adore,adage,,
after,2,salet,after,,,,
adore,3,salet,abide,adore,,,
apron,3,salet,abhor,apron,,,
batch,3,salet,baton,batch,,,
entry,4,salet,berth,trice,entry,,
flesh,3,salet,close,flesh,,,
drool,4,salet,blimp,could,drool,,
alike,3,salet,agile,alike,,,
belch,2,salet,belch,,,,
drone,4,salet,begin,crone,drone,,
grown,4,salet,bingo,prong,grown,,
cease,4,salet,aside,chase,cease,,
